   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00
   1.004669299E-04  -0.000000000E+00   1.868003236E-06   2.547111795E-05   8.669606510E-05   1.965508808E-04   1.994547215E-03   1.645048806E-02   5.246237807E-02   1.125241609E-01   1.900344070E-01   6.466019698E-01
   2.000329743E-04  -0.000000000E+00  -1.401492307E-05  -6.958834871E-06   3.297483865E-05   1.201992978E-04   1.834747133E-03   1.652290216E-02   5.242757852E-02   1.125754094E-01   1.904040406E-01   6.480192876E-01
   3.000978546E-04  -0.000000000E+00  -2.929692527E-05  -3.888709979E-05  -2.037392478E-05   4.408224816E-05   1.674678912E-03   1.661466772E-02   5.237406250E-02   1.126530681E-01   1.907755973E-01   6.494348052E-01
   4.001611938E-04  -0.000000000E+00  -4.354904668E-05  -6.980365140E-05  -7.273704319E-05  -3.107844260E-05   1.515446726E-03   1.674272108E-02   5.230164601E-02   1.127617579E-01   1.911477348E-01   6.508388443E-01
   5.002230929E-04  -0.000000000E+00  -5.642349117E-05  -9.936181939E-05  -1.237718258E-04  -1.049454143E-04   1.357351249E-03   1.690614498E-02   5.220691853E-02   1.129034471E-01   1.915196646E-01   6.522293226E-01
   6.002836506E-04  -0.000000000E+00  -6.757464635E-05  -1.272144576E-04  -1.731356285E-04  -1.771810751E-04   1.200693831E-03   1.709346957E-02   5.209289148E-02   1.130777025E-01   1.918899155E-01   6.536046699E-01
   7.003429623E-04  -0.000000000E+00  -7.664542294E-05  -1.530152315E-04  -2.204840886E-04  -2.474468876E-04   1.045776608E-03   1.729211197E-02   5.197599868E-02   1.132826533E-01   1.922568640E-01   6.549638521E-01
   8.004011200E-04  -0.000000000E+00  -8.333104532E-05  -1.764175384E-04  -2.654734640E-04  -3.154030541E-04   8.929025969E-04   1.749256307E-02   5.188519235E-02   1.135158330E-01   1.926190995E-01   6.563063701E-01
   9.004582127E-04  -0.000000000E+00  -8.724738794E-05  -1.970746337E-04  -3.077590272E-04  -3.807089116E-04   7.423757844E-04   1.768878253E-02   5.185450670E-02   1.137745365E-01   1.929756297E-01   6.576322364E-01
   1.000014048E-03  -0.000000000E+00  -8.771040726E-05  -2.145688751E-04  -3.468078086E-04  -4.427200892E-04   5.952335079E-04   1.787660336E-02   5.191305212E-02   1.140541497E-01   1.933242243E-01   6.589354269E-01
   1.100069271E-03  -0.000000000E+00  -8.573921323E-05  -2.286983288E-04  -3.826684130E-04  -5.017194634E-04   4.503019063E-04   1.805691832E-02   5.207976390E-02   1.143532292E-01   1.936683769E-01   6.602299417E-01
   1.200123680E-03  -0.000000000E+00  -8.323023926E-05  -2.390747720E-04  -4.147915669E-04  -5.570452664E-04   3.086347119E-04   1.822940549E-02   5.235960318E-02   1.146641907E-01   1.940067162E-01   6.615104610E-01
   1.300177355E-03  -0.000000000E+00  -8.073445954E-05  -2.454306553E-04  -4.428327017E-04  -6.083549822E-04   1.705407019E-04   1.839563335E-02   5.274561311E-02   1.149782219E-01   1.943399157E-01   6.627785540E-01
