   7.500262697E-03   2.455991296E+00   9.956391367E+00   9.956391367E+00
   7.600312776E-03   2.456212195E+00   9.956377359E+00   9.956377359E+00
   7.700362270E-03   2.456385199E+00   9.956363344E+00   9.956363344E+00
   7.800414194E-03   2.456606841E+00   9.956349309E+00   9.956349309E+00
   7.900468642E-03   2.456801288E+00   9.956335240E+00   9.956335240E+00
   8.000025535E-03   2.457007797E+00   9.956321198E+00   9.956321198E+00
   8.100085396E-03   2.457228782E+00   9.956307031E+00   9.956307031E+00
   8.200145985E-03   2.457419144E+00   9.956292802E+00   9.956292802E+00
   8.300206501E-03   2.457664697E+00   9.956278503E+00   9.956278503E+00
   8.400267339E-03   2.457845264E+00   9.956264129E+00   9.956264129E+00
   8.500328804E-03   2.458100913E+00   9.956249676E+00   9.956249676E+00
   8.600390575E-03   2.458289185E+00   9.956235141E+00   9.956235141E+00
   8.700453380E-03   2.458534711E+00   9.956220522E+00   9.956220522E+00
   8.800017234E-03   2.458747583E+00   9.956205895E+00   9.956205895E+00
   8.900082282E-03   2.458967658E+00   9.956191113E+00   9.956191113E+00
   9.000147635E-03   2.459218070E+00   9.956176252E+00   9.956176252E+00
   9.100212451E-03   2.459411320E+00   9.956161318E+00   9.956161318E+00
   9.200276417E-03   2.459690616E+00   9.956146314E+00   9.956146314E+00
   9.300339640E-03   2.459873348E+00   9.956131246E+00   9.956131246E+00
   9.400402604E-03   2.460155842E+00   9.956116121E+00   9.956116121E+00
   9.500466607E-03   2.460354589E+00   9.956100945E+00   9.956100945E+00
   9.600031463E-03   2.460613284E+00   9.956085802E+00   9.956085802E+00
   9.700096809E-03   2.460848771E+00   9.956070546E+00   9.956070546E+00
   9.800161758E-03   2.461072377E+00   9.956055261E+00   9.956055261E+00
   9.900225781E-03   2.461349716E+00   9.956039953E+00   9.956039953E+00
   1.000028913E-02   2.461544917E+00   9.956024628E+00   9.956024628E+00
   1.010035132E-02   2.461845482E+00   9.956009291E+00   9.956009291E+00
   1.020041353E-02   2.462037384E+00   9.955993945E+00   9.955993945E+00
   1.030047713E-02   2.462328567E+00   9.955978595E+00   9.955978595E+00
   1.040004187E-02   2.462544112E+00   9.955963318E+00   9.955963318E+00
   1.050010704E-02   2.462803719E+00   9.955947960E+00   9.955947960E+00
   1.060017220E-02   2.463060725E+00   9.955932598E+00   9.955932598E+00
   1.070023740E-02   2.463282933E+00   9.955917227E+00   9.955917227E+00
   1.080030144E-02   2.463576168E+00   9.955901844E+00   9.955901844E+00
   1.090036350E-02   2.463774055E+00   9.955886442E+00   9.955886442E+00
   1.100042556E-02   2.464083435E+00   9.955871011E+00   9.955871011E+00
   1.110048918E-02   2.464280420E+00   9.955855542E+00   9.955855542E+00
   1.120005282E-02   2.464578414E+00   9.955840101E+00   9.955840101E+00
   1.130011653E-02   2.464796006E+00   9.955824520E+00   9.955824520E+00
   1.140017952E-02   2.465066612E+00   9.955808863E+00   9.955808863E+00
   1.150024197E-02   2.465319383E+00   9.955793112E+00   9.955793112E+00
   1.160030421E-02   2.465555081E+00   9.955777254E+00   9.955777254E+00
   1.170036597E-02   2.465838686E+00   9.955761271E+00   9.955761271E+00
   1.180042736E-02   2.466047879E+00   9.955745146E+00   9.955745146E+00
   1.190048908E-02   2.466347297E+00   9.955728862E+00   9.955728862E+00
   1.200005043E-02   2.466547295E+00   9.955712487E+00   9.955712487E+00
   1.210011197E-02   2.466841727E+00   9.955695840E+00   9.955695840E+00
   1.220017341E-02   2.467052704E+00   9.955678989E+00   9.955678989E+00
   1.230023441E-02   2.467325996E+00   9.955661921E+00   9.955661921E+00
   1.240029448E-02   2.467558750E+00   9.955644628E+00   9.955644628E+00
   1.250035407E-02   2.467801742E+00   9.955627099E+00   9.955627099E+00
   1.260041364E-02   2.468058354E+00   9.955609328E+00   9.955609328E+00
   1.270047359E-02   2.468274037E+00   9.955591314E+00   9.955591314E+00
   1.280003374E-02   2.468546461E+00   9.955573148E+00   9.955573148E+00
   1.290009414E-02   2.468750363E+00   9.955554650E+00   9.955554650E+00
   1.300015425E-02   2.469026565E+00   9.955535918E+00   9.955535918E+00
   1.310021434E-02   2.469237771E+00   9.955516961E+00   9.955516961E+00
   1.320027456E-02   2.469497642E+00   9.955497793E+00   9.955497793E+00
